Program Time [s],data 0
33.1214,0
35.5389,0
38.4058,0
41.2646,0
43.9718,10
46.7733,27
49.5543,35
52.5809,41
55.2922,50
57.9708,66
60.9279,83
63.5409,89
65.9901,97
69.0291,100
75.2094,0
75.3568,0
75.5781,1
75.7992,1
76.0244,1
76.2456,1
76.4463,2
76.6142,2
76.8353,2
77.0566,2
77.2777,2
77.5029,3
77.7241,3
77.8715,3
78.0927,3
78.3139,3
78.5351,4
78.7562,4
78.9815,4
79.1413,4
79.3501,4
79.5712,5
79.7925,5
80.0136,5
80.2348,5
80.4191,6
80.6033,6
80.8287,6
81.0498,6
81.271,6
81.4922,7
81.701,7
81.8608,7
82.0819,7
82.3072,7
82.5283,8
82.7495,8
82.9706,8
83.1222,8
83.3393,8
83.5606,9
83.7857,9
84.0069,9
84.2281,9
84.3878,10
84.5966,10
84.8219,10
85.0431,10
85.2642,10
85.4854,11
85.682,11
85.8541,11
86.0751,11
86.3004,11
86.5216,12
86.7428,12
86.9435,12
87.1114,12
87.3326,12
87.5578,13
87.7789,13
88.0001,13
88.2213,13
88.3852,14
88.5899,14
88.8111,14
89.0363,14
89.2575,14
89.4787,15
89.6629,15
89.8472,15
90.0685,15
90.2937,15
90.5148,16
90.7361,16
90.9449,16
91.1047,16
91.3258,16
91.5469,17
91.7722,17
91.9934,17
92.2064,17
92.362,17
92.5832,18
92.8044,18
93.0296,18
93.2508,18
93.472,19
93.6481,19
93.8405,19
94.0617,19
94.283,19
94.5081,20
94.7293,20
94.9136,20
95.0979,20
95.3191,20
95.5402,21
95.6877,21
95.9088,21
96.1341,21
96.3552,21
96.5764,22
96.7977,22
96.9778,22
97.199,22
97.3874,23
97.6126,23
97.8256,23
98.055,23
98.2762,23
98.5014,24
98.7021,24
98.87,24
99.0913,24
99.3124,24
99.5335,25
99.7546,25
99.9758,25
100.156,25
100.349,25
100.57,26
100.791,26
101.012,26
101.237,26
101.426,27
101.606,27
101.827,27
102.048,27
102.269,27
102.421,28
102.638,28
102.859,28
103.084,28
103.285,28
103.527,29
103.748,29
103.965,29
104.137,29
104.342,29
104.563,30
104.784,30
105.005,30
105.157,30
105.374,31
105.595,31
105.82,31
105.996,31
106.254,31
106.484,32
106.676,32
106.852,32
107.078,32
107.299,32
107.52,33
107.696,33
107.889,33
108.11,33
108.331,33
108.544,34
108.777,34
108.999,34
109.216,34
109.396,35
109.588,35
109.814,35
110.035,35
110.256,35
110.403,36
110.625,36
110.846,36
111.067,36
111.255,36
111.513,37
111.734,37
111.935,37
112.103,37
112.324,37
112.55,38
112.771,38
112.939,38
113.139,38
113.36,39
113.582,39
113.79,39
114.028,39
114.249,39
114.466,40
114.622,40
114.839,40
115.06,40
115.285,40
115.462,41
115.683,41
115.875,41
116.096,41
116.309,41
116.539,42
116.764,42
116.985,42
117.149,42
117.354,42
117.575,43
117.796,43
117.993,43
118.234,43
118.443,44
118.619,44
118.832,44
119.029,44
119.275,44
119.5,45
119.672,45
119.868,45
120.09,45
120.311,45
120.491,46
120.745,46
120.978,46
121.171,46
121.347,46
121.568,47
121.789,47
122.002,47
122.236,47
122.445,48
122.617,48
122.826,48
123.018,48
123.268,48
123.493,49
123.645,49
123.862,49
124.083,49
124.304,49
124.476,50
124.73,50
124.959,50
125.16,50
125.34,50
125.561,51
125.783,51
125.991,51
126.229,51
126.442,52
126.614,52
126.819,52
127.011,52
127.261,52
127.482,53
127.671,53
127.851,53
128.076,53
128.297,53
128.498,54
128.74,54
128.965,54
129.161,54
129.334,54
129.555,55
129.776,55
129.997,55
130.165,55
130.366,56
130.587,56
130.812,56
131.013,56
131.254,56
131.476,57
131.688,57
131.869,57
132.069,57
132.291,57
132.512,58
132.667,58
132.88,58
133.102,58
133.323,58
133.536,59
133.769,59
133.99,59
134.187,59
134.379,60
134.879,60
135.403,61
135.903,61
136.427,62
