2022-12-13 02:51:09.742 INFO  [5296] Logger 0 Initialized
2022-12-13 02:53:22.887 INFO  [12700] Logger 0 Initialized
2022-12-13 03:01:40.905 INFO  [25784] Logger 0 Initialized
2022-12-13 03:03:05.772 INFO  [40724] Logger 0 Initialized
2022-12-13 03:33:28.347 INFO  [37824] Logger 0 Initialized
2022-12-13 10:48:33.051 INFO  [35904] Logger 0 Initialized
2022-12-13 11:22:30.854 INFO  [19048] Logger 0 Initialized
2022-12-15 01:12:29.909 INFO  [3476] Logger 0 Initialized
2022-12-20 14:43:02.301 INFO  [13784] Logger 0 Initialized
2022-12-21 00:47:29.772 INFO  [12368] Logger 0 Initialized
2022-12-21 02:08:22.412 INFO  [21012] Logger 0 Initialized
2022-12-21 02:13:51.972 INFO  [4796] Logger 0 Initialized
2022-12-21 02:21:18.659 INFO  [22180] Logger 0 Initialized
2022-12-21 02:30:19.336 INFO  [13880] Logger 0 Initialized
2022-12-21 13:11:27.803 INFO  [18728] Logger 0 Initialized
2022-12-21 16:05:14.965 INFO  [23140] Logger 0 Initialized
2022-12-25 00:56:24.495 INFO  [4620] Logger 0 Initialized
2022-12-31 03:43:10.631 INFO  [11896] Logger 0 Initialized
2023-01-07 05:35:46.747 INFO  [7036] Logger 0 Initialized
2023-01-07 05:37:14.770 INFO  [20360] Logger 0 Initialized
2023-01-07 05:44:07.119 INFO  [9484] Logger 0 Initialized
2023-01-07 09:00:58.065 INFO  [16624] Logger 0 Initialized
2023-01-07 11:49:21.654 INFO  [4388] Logger 0 Initialized
2023-01-08 19:39:48.382 INFO  [22584] Logger 0 Initialized
2023-01-08 19:44:40.616 INFO  [13080] Logger 0 Initialized
2023-01-08 19:49:37.717 INFO  [4260] Logger 0 Initialized
2023-01-08 23:26:33.907 INFO  [11568] Logger 0 Initialized
2023-01-08 23:27:26.276 INFO  [2676] Logger 0 Initialized
2023-01-08 23:28:13.433 INFO  [25572] Logger 0 Initialized
